"user_id","gender","age_group","married","has_children","home_country","home_city","sign_up_date","num_sessions","avg_session_duration_minute","avg_page_clicks","total_trips","conversion_rate","weekend_trip_proportion","cancellation_proportion","avg_booking_departure_gap_days_flights","avg_booking_departure_gap_days_hotels","round_trips_proportion","avg_flight_price_usd","avg_flight_discount_amount","discounted_flight_proportion","avg_flight_seats","avg_checked_bags","avg_distance_flown","total_hotels_booked","avg_hotel_price_usd","avg_hotel_discount_amount","discounted_hotel_proportion","avg_hotel_rooms","avg_hotel_stay_duration_day","assigned_group","assigned_perk"
"550068","F","35-44","false","true","usa","memphis","2023-01-24","8","2.13","18.88","4","0.50","0.00","0.00","7.86","10.69","1.00","248.86","0.10","0.25","1.00","0.50","1443","4","1625.50","0.05","0.13","1.25","6.00","Family-Oriented Travelers","Free checked bag"
"550221","F","35-44","true","false","usa","austin","2023-01-24","9","1.11","13.33","3","0.33","0.00","0.00","8.84","9.06","1.00","662.41","0.15","0.11","1.33","0.67","2592","3","336.00","0.15","0.11","1.33","1.33","Moderate Travellers","Priority boarding"
"550627","F","65+","true","false","usa","philadelphia","2023-01-24","9","0.44","8.44","1","0.11","0.00","0.00","253.28","","1.00","5053.20","","0.00","2.00","1.00","15222","0","","0.05","0.22","","","High-Spending Travelers","Free hotel meal"
"551088","F","45-54","false","false","usa","san jose","2023-01-25","9","1.67","18.11","5","0.56","0.00","0.00","10.13","8.57","1.00","1104.68","0.20","0.11","1.67","0.00","4242","5","1367.20","","0.00","1.60","3.60","Family-Oriented Travelers","Free checked bag"
"551210","F","18-24","false","true","usa","newport news","2023-01-25","8","1.25","13.88","0","0.00","0.00","","","","0.00","","0.13","0.38","","","","0","","0.05","0.13","","","Budget Travellers","Exclusive discounts"
"551685","M","65+","true","false","usa","san antonio","2023-01-25","8","1.13","12.88","1","0.13","0.00","0.00","5.36","5.53","1.00","295.01","0.23","0.25","1.00","0.00","1788","1","675.00","0.08","0.25","1.00","3.00","Spontaneous Travelers","No cancellation fees"
"552506","F","45-54","true","false","canada","winnipeg","2023-01-25","8","0.75","10.63","1","0.13","0.00","0.00","7.18","","1.00","408.78","0.25","0.25","1.00","0.00","2046","0","","","0.00","","","Moderate Travellers","Priority boarding"
"554949","F","25-34","false","true","usa","new york","2023-01-26","8","0.75","10.00","0","0.00","0.00","","","","0.00","","0.18","0.38","","","","0","","0.05","0.13","","","Budget Travellers","Exclusive discounts"
"555310","M","35-44","true","false","canada","toronto","2023-01-27","8","5.75","31.25","6","0.75","0.00","0.17","8.60","7.96","1.00","291.21","","0.13","1.00","0.67","1547","6","449.29","0.13","0.38","1.00","2.71","Budget Travellers","Exclusive discounts"
"556347","F","35-44","false","false","usa","los angeles","2023-01-27","8","2.63","23.25","4","0.50","0.00","0.00","9.96","13.95","1.00","466.01","0.15","0.25","1.00","0.75","2831","2","475.50","0.15","0.13","1.00","2.50","Frequent Travellers","1 night free hotel with flight"
"559277","F","25-34","false","false","canada","edmonton","2023-01-29","8","2.25","23.13","4","0.50","0.00","0.00","9.61","6.83","1.00","568.65","0.15","0.25","1.00","0.00","2996","4","1205.75","0.20","0.13","1.00","6.50","High-Spending Travelers","Free hotel meal"
"560508","F","45-54","false","false","usa","minneapolis","2023-01-29","8","1.38","13.75","1","0.13","0.00","0.00","7.81","","1.00","323.14","0.10","0.13","1.00","0.00","1782","0","","0.15","0.13","","","Moderate Travellers","Priority boarding"
"560991","F","45-54","true","true","usa","philadelphia","2023-01-29","8","2.13","20.38","4","0.50","0.00","0.00","10.13","10.30","1.00","291.43","0.15","0.25","1.00","0.50","1573","4","974.00","0.05","0.13","1.00","7.00","Frequent Travellers","1 night free hotel with flight"
"562398","F","35-44","false","false","usa","tacoma","2023-01-30","9","1.67","17.89","4","0.44","0.00","0.00","8.35","7.63","0.67","436.05","0.15","0.33","1.00","0.33","2893","4","1260.50","0.10","0.22","1.25","5.00","Family-Oriented Travelers","Free checked bag"
"562886","F","45-54","true","false","usa","san francisco","2023-01-30","8","1.13","13.63","4","0.50","0.00","0.00","7.90","8.07","1.00","303.46","0.15","0.13","1.00","1.00","1616","4","147.00","","0.00","1.00","1.00","Frequent Travellers","1 night free hotel with flight"
"562888","F","25-34","true","false","usa","louisville","2023-01-30","8","1.25","15.00","0","0.00","0.00","","","","0.00","","0.08","0.38","","","","0","","0.10","0.13","","","Budget Travellers","Exclusive discounts"
"564534","F","45-54","true","false","usa","new york","2023-01-31","8","2.25","22.13","3","0.38","0.00","0.00","6.55","6.76","1.00","419.91","0.10","0.13","1.00","0.00","2360","3","971.33","0.10","0.13","1.00","4.33","Spontaneous Travelers","No cancellation fees"
"566881","M","45-54","true","true","usa","new york","2023-02-01","8","1.38","14.00","5","0.63","0.00","0.00","7.30","6.26","1.00","648.45","0.15","0.25","1.20","0.80","3015","4","414.25","","0.00","1.25","4.00","Family-Oriented Travelers","Free checked bag"
"567245","M","65+","false","false","usa","wichita","2023-02-01","8","1.00","13.00","0","0.00","0.00","","","","0.00","","0.05","0.13","","","","0","","0.05","0.13","","","Occasional Travellers","Loyalty points"
"567458","F","18-24","false","false","usa","san antonio","2023-02-02","8","1.00","12.25","1","0.13","0.00","0.00","12.97","13.19","1.00","457.04","","0.00","1.00","1.00","2673","1","87.00","0.10","0.13","1.00","1.00","Moderate Travellers","Priority boarding"
"567651","F","35-44","false","false","usa","laredo","2023-02-02","10","4.90","43.80","4","0.40","0.00","0.00","8.79","8.99","1.00","386.55","0.08","0.30","1.00","0.50","2326","4","475.00","0.15","0.10","1.00","2.00","Budget Travellers","Exclusive discounts"
"570162","F","35-44","false","true","usa","nashville","2023-02-03","8","2.13","20.63","4","0.50","0.00","0.00","7.70","6.53","1.00","285.21","0.18","0.38","1.33","0.67","1310","4","506.25","0.15","0.13","1.25","5.75","Family-Oriented Travelers","Free checked bag"
"573378","F","45-54","true","true","usa","new york","2023-02-04","8","1.63","16.50","5","0.63","0.00","0.00","6.98","7.19","1.00","615.32","","0.00","1.40","0.20","2501","5","336.00","0.35","0.13","1.40","2.60","Frequent Travellers","1 night free hotel with flight"
"579714","F","65+","true","false","usa","mobile","2023-02-07","8","1.25","13.63","2","0.25","0.00","0.00","","5.78","0.00","","","0.00","","","","2","1842.50","","0.00","2.00","10.00","Family-Oriented Travelers","Free checked bag"
"586701","M","35-44","false","false","usa","philadelphia","2023-02-11","8","2.75","24.63","4","0.50","0.00","0.00","8.91","8.10","0.67","200.84","0.28","0.25","1.00","0.33","1206","4","590.75","0.20","0.13","1.00","4.25","Frequent Travellers","1 night free hotel with flight"
"590379","F","45-54","true","false","usa","san francisco","2023-02-12","8","1.75","17.38","4","0.50","0.00","0.00","8.50","8.76","1.00","761.76","","0.00","1.25","0.25","3419","4","597.50","","0.00","1.25","2.25","Frequent Travellers","1 night free hotel with flight"
"596863","F","35-44","true","true","usa","chicago","2023-02-15","8","5.38","28.25","3","0.38","0.00","0.33","121.85","92.87","0.50","510.11","","0.13","2.67","1.33","1004","3","6872.25","","0.13","1.75","18.00","Family-Oriented Travelers","Free checked bag"
"598075","F","35-44","true","true","usa","houston","2023-02-16","8","2.13","20.00","3","0.38","0.00","0.00","4.61","4.49","1.00","529.81","0.25","0.13","1.00","1.00","2744","3","153.33","","0.00","1.00","1.33","Spontaneous Travelers","No cancellation fees"
"601673","F","35-44","true","true","canada","toronto","2023-02-18","8","1.38","14.50","5","0.63","0.00","0.00","7.79","8.24","0.80","430.15","0.05","0.25","1.60","0.00","1871","4","310.25","","0.00","1.75","2.25","Frequent Travellers","1 night free hotel with flight"
"613383","M","35-44","false","false","usa","phoenix","2023-02-23","8","0.75","10.00","1","0.13","0.00","0.00","11.61","11.72","1.00","153.98","0.15","0.25","2.00","1.00","414","1","284.00","","0.00","2.00","1.00","Moderate Travellers","Priority boarding"
"614846","M","65+","true","false","usa","columbus","2023-02-23","8","0.50","7.50","0","0.00","0.00","","","","0.00","","0.15","0.13","","","","0","","0.13","0.25","","","Occasional Travellers","Loyalty points"
"619983","F","65+","true","false","usa","san diego","2023-02-25","8","1.25","14.13","1","0.13","0.00","0.00","","10.71","0.00","","0.10","0.13","","","","1","608.00","0.20","0.13","1.00","2.00","Moderate Travellers","Priority boarding"
"621849","F","45-54","true","true","usa","birmingham","2023-02-26","8","1.63","17.88","3","0.38","0.00","0.00","7.95","8.13","0.67","341.67","0.10","0.25","1.33","0.33","1977","3","525.33","","0.00","1.33","2.00","Moderate Travellers","Priority boarding"
"623949","M","45-54","true","false","usa","new york","2023-02-27","8","1.25","13.75","3","0.38","0.00","0.00","9.46","9.57","1.00","95.76","0.20","0.25","1.00","0.67","592","3","624.00","","0.00","1.00","4.67","Moderate Travellers","Priority boarding"
"665505","F","35-44","false","false","canada","ottawa","2023-03-15","8","3.00","26.38","5","0.63","0.00","0.00","7.29","6.19","1.00","271.12","0.12","0.38","1.00","0.25","1527","5","500.20","","0.00","1.20","3.00","Budget Travellers","Exclusive discounts"
"700237","F","45-54","false","false","usa","atlanta","2023-03-28","8","3.75","58.13","3","0.38","0.00","0.33","8.40","8.57","1.00","439.24","0.30","0.25","1.25","0.75","1622","3","246.25","0.20","0.25","1.25","1.75","Occasional Travellers","Loyalty points"
"299476","F","35-44","true","false","usa","atlanta","2022-08-25","13","2.54","39.00","3","0.23","0.00","0.33","19.28","19.56","1.00","1052.21","0.20","0.23","1.25","0.25","4109","3","2911.75","0.12","0.31","1.00","3.25","High-Spending Travelers","Free hotel meal"
"316527","F","35-44","true","true","canada","winnipeg","2022-09-08","11","1.55","17.09","4","0.36","0.00","0.00","7.84","8.03","1.00","434.97","0.18","0.18","1.25","0.25","1941","4","1417.50","0.05","0.09","1.25","2.50","High-Spending Travelers","Free hotel meal"
"374341","F","25-34","false","false","usa","detroit","2022-10-22","9","1.11","14.22","4","0.44","0.00","0.00","57.25","23.07","1.00","4265.30","0.10","0.11","2.00","1.00","11589","4","2135.00","","0.00","1.75","10.25","Family-Oriented Travelers","Free checked bag"
"375160","F","18-24","false","false","usa","houston","2022-10-22","11","0.27","7.18","1","0.09","0.00","0.00","","25.58","0.00","","0.05","0.09","","","","1","12144.00","0.10","0.09","1.00","23.00","High-Spending Travelers","Free hotel meal"
"437251","F","35-44","false","false","canada","london","2022-11-28","10","1.50","16.60","4","0.40","0.00","0.00","7.59","7.24","1.00","362.37","","0.00","1.00","0.33","1886","4","640.25","","0.00","1.00","4.75","Frequent Travellers","1 night free hotel with flight"
"438189","F","35-44","true","false","usa","fort worth","2022-11-28","11","1.73","18.82","7","0.64","0.00","0.00","8.00","8.14","1.00","294.63","0.10","0.09","1.14","0.71","1409","6","368.50","0.10","0.09","1.17","1.83","Frequent Travellers","1 night free hotel with flight"
"452612","F","35-44","true","true","usa","rochester","2022-12-06","10","5.00","30.50","3","0.30","0.00","0.33","12.25","11.00","1.00","490.84","0.08","0.30","1.00","1.33","2918","3","625.00","0.10","0.30","1.25","3.75","Family-Oriented Travelers","Free checked bag"
"485505","F","25-34","false","false","usa","phoenix","2022-12-23","10","0.90","11.30","2","0.20","0.00","0.00","7.32","7.45","0.50","162.31","0.13","0.40","1.50","1.00","922","2","555.00","","0.00","1.50","2.00","Budget Travellers","Exclusive discounts"
"506186","F","25-34","false","false","usa","detroit","2023-01-02","9","2.67","26.78","3","0.33","0.00","0.00","143.25","7.90","1.00","389.88","0.25","0.11","1.50","0.50","1847","2","490.50","","0.00","1.50","3.00","Moderate Travellers","Priority boarding"
"510094","F","45-54","false","false","usa","long beach","2023-01-04","8","0.75","9.38","1","0.13","0.00","0.00","8.52","8.61","1.00","5.35","0.08","0.25","1.00","2.00","27","1","1179.00","","0.00","1.00","9.00","High-Spending Travelers","Free hotel meal"
"510946","F","45-54","true","false","canada","london","2023-01-05","8","2.00","20.75","3","0.38","0.00","0.00","8.94","9.16","1.00","721.88","0.12","0.38","1.67","0.67","2692","3","2275.33","0.05","0.13","1.67","5.00","Family-Oriented Travelers","Free checked bag"
"511560","F","35-44","false","true","usa","wichita","2023-01-05","8","1.75","17.63","4","0.50","0.00","0.00","8.02","8.21","0.75","451.52","0.23","0.25","1.50","0.00","2056","4","462.00","","0.00","1.50","1.50","Frequent Travellers","1 night free hotel with flight"
"511568","F","18-24","false","false","usa","baltimore","2023-01-05","8","1.25","13.38","1","0.13","0.00","0.00","252.85","","1.00","1229.22","0.13","0.25","1.00","0.00","5981","0","","0.10","0.13","","","Moderate Travellers","Priority boarding"
"511998","F","35-44","false","false","usa","milwaukee","2023-01-05","8","1.00","11.63","2","0.25","0.00","0.00","5.91","6.11","1.00","362.70","0.15","0.25","1.00","0.00","2124","2","134.00","0.25","0.13","1.00","2.00","Spontaneous Travelers","No cancellation fees"
"512201","F","45-54","true","false","usa","san jose","2023-01-05","8","1.88","18.63","4","0.50","0.00","0.00","7.70","7.73","1.00","518.44","0.10","0.25","1.00","0.75","3023","3","699.33","0.13","0.25","1.00","4.00","Frequent Travellers","1 night free hotel with flight"
"512301","F","35-44","false","false","usa","columbus","2023-01-05","8","1.63","16.25","5","0.63","0.00","0.00","7.02","6.73","1.00","298.50","","0.00","1.00","1.25","1785","3","367.33","0.08","0.25","1.00","2.67","Frequent Travellers","1 night free hotel with flight"
"513569","F","18-24","false","false","usa","boston","2023-01-06","9","0.78","9.67","2","0.22","0.00","0.00","4.33","4.12","1.00","628.70","0.15","0.33","1.00","1.00","3133","2","73.00","0.15","0.11","1.00","1.50","Budget Travellers","Exclusive discounts"
"513796","F","45-54","true","false","usa","tacoma","2023-01-06","8","1.75","17.00","3","0.38","0.00","0.00","7.10","7.94","1.00","746.65","","0.00","1.33","0.67","2973","2","2277.00","","0.00","1.50","7.50","Family-Oriented Travelers","Free checked bag"
"515874","F","65+","true","false","usa","anchorage","2023-01-07","9","1.11","12.56","1","0.11","0.00","0.00","","8.70","0.00","","0.05","0.11","","","","1","1962.00","0.10","0.11","2.00","9.00","Family-Oriented Travelers","Free checked bag"
"516290","M","45-54","false","false","usa","omaha","2023-01-07","8","2.50","22.25","3","0.38","0.00","0.00","5.54","6.53","1.00","389.97","0.15","0.13","1.50","0.00","1510","3","1098.67","","0.00","1.33","4.33","Family-Oriented Travelers","Free checked bag"
"517491","F","55-64","false","false","usa","nashville","2023-01-08","8","1.75","17.38","8","1.00","0.00","0.00","6.27","8.36","1.00","328.93","","0.00","1.00","0.50","1847","7","813.43","","0.00","1.14","3.57","Family-Oriented Travelers","Free checked bag"
"517675","F","25-34","true","false","canada","toronto","2023-01-08","8","1.63","17.25","4","0.50","0.00","0.00","7.25","7.40","1.00","275.78","0.15","0.38","1.50","1.00","1251","4","1004.00","0.13","0.25","1.50","4.25","Family-Oriented Travelers","Free checked bag"
"520603","F","25-34","false","false","usa","milwaukee","2023-01-09","8","0.50","8.00","0","0.00","0.00","","","","0.00","","","0.00","","","","0","","0.15","0.13","","","Occasional Travellers","Loyalty points"
"521295","F","35-44","false","true","usa","baton rouge","2023-01-10","8","1.13","12.75","2","0.25","0.00","0.00","5.17","5.33","1.00","302.10","0.20","0.13","1.00","0.50","1567","2","552.00","0.10","0.25","1.00","6.00","Spontaneous Travelers","No cancellation fees"
"521743","F","35-44","false","false","canada","calgary","2023-01-10","8","2.13","21.25","7","0.88","0.00","0.00","7.48","7.78","1.00","388.04","","0.00","1.00","0.29","2078","6","288.33","0.05","0.13","1.00","3.17","Frequent Travellers","1 night free hotel with flight"
"522438","M","55-64","true","true","canada","vancouver","2023-01-10","8","3.00","28.88","5","0.63","0.00","0.00","6.45","6.66","1.00","536.10","","0.00","1.20","0.40","2423","5","378.80","0.15","0.13","1.20","2.00","Frequent Travellers","1 night free hotel with flight"
"523077","F","25-34","false","false","usa","corpus christi","2023-01-11","8","1.75","19.00","4","0.50","0.00","0.00","4.47","7.03","1.00","551.81","0.15","0.25","1.00","1.00","3283","4","1277.50","0.10","0.13","1.25","6.50","Family-Oriented Travelers","Free checked bag"
"523860","F","35-44","true","true","usa","knoxville","2023-01-11","8","0.63","7.88","3","0.38","0.00","0.00","7.64","17.37","1.00","774.17","0.07","0.38","2.50","0.00","2156","2","1260.00","0.10","0.13","3.00","4.50","Family-Oriented Travelers","Free checked bag"
"523866","F","18-24","false","false","canada","toronto","2023-01-11","8","1.63","17.13","3","0.38","0.00","0.00","10.75","10.52","0.67","433.42","","0.00","1.00","0.33","2747","2","283.50","0.10","0.13","1.00","2.00","Moderate Travellers","Priority boarding"
"525176","F","65+","false","false","usa","washington","2023-01-12","8","2.88","28.25","1","0.13","0.00","0.00","7.49","7.60","1.00","117.16","0.05","0.13","1.00","1.00","571","1","0.00","0.05","0.13","1.00","0.00","Moderate Travellers","Priority boarding"
